,daycode,month,holidays,season,weather_type,load,temp,hr_weather_type,cdd,hdd
209,6,7,1,1,1,2.4318827382320083,93,5,28,0
210,0,7,1,1,1,2.4908227591860523,93,5,28,0
211,1,7,1,1,1,2.2524073131322644,92,5,27,0
212,2,8,1,1,1,2.2190991022483773,90,5,25,0
213,3,8,1,1,1,1.4499029447881735,79,1,14,0
214,4,8,1,1,1,1.9535954642131104,89,5,24,0
215,5,8,1,1,1,2.071568085547673,87,5,22,0
216,6,8,1,1,1,1.9602414727062485,88,5,23,0
217,0,8,1,1,1,1.9517011950896412,87,5,22,0
218,1,8,1,1,1,1.5916158056028826,84,4,19,0
219,2,8,1,1,1,1.7843016381971202,88,5,23,0
220,3,8,1,1,1,2.2928771412414988,93,5,28,0
221,4,8,1,1,1,2.2620887232332088,87,5,22,0
222,5,8,1,1,1,2.255807911563412,94,5,29,0
223,6,8,1,1,1,2.4396569451974788,93,5,28,0
224,0,8,1,1,1,2.6024382876326984,92,5,27,0
225,1,8,1,1,1,2.4504683639715767,92,5,27,0
226,2,8,1,1,1,2.379065646917572,91,5,26,0
227,3,8,1,1,1,2.3949421904629764,91,5,26,0
228,4,8,1,1,1,2.4465375738543718,93,5,28,0
229,5,8,1,1,1,2.3832800393332514,93,5,28,0
230,6,8,1,1,1,2.40038091699534,93,5,28,0
231,0,8,1,1,1,2.45088520938337,91,5,26,0
232,4,8,1,1,1,1.958702533200724,91,5,26,0
233,5,9,1,1,1,1.948577217985372,87,5,22,0
234,6,9,1,1,1,1.9124425518498438,86,5,21,0
235,0,9,1,1,1,1.9770295046342048,87,5,22,0
236,1,9,0,1,1,2.1042079628709525,86,5,21,0
237,2,9,1,1,1,1.9999383068682448,86,5,21,0
238,3,9,1,1,1,1.5961607556042554,82,4,17,0
239,4,9,1,1,1,1.487030195945742,80,1,15,0
240,5,9,1,1,1,1.4988114851776888,81,4,16,0
241,6,9,1,1,1,1.5853963286853376,82,4,17,0
242,0,9,1,1,1,1.8091736881529767,83,4,18,0
243,1,9,1,1,1,1.5769068078469484,82,4,17,0
244,2,9,1,1,1,1.6811593244620433,84,4,19,0
245,3,9,1,1,1,1.7555335519221418,85,5,20,0
246,4,9,1,1,1,1.9418362537259983,85,5,20,0
247,5,9,1,1,1,1.893585773195258,85,5,20,0
248,6,9,1,1,1,2.0412552306013483,88,5,23,0
249,0,9,1,1,1,2.3490874015483496,88,5,23,0
250,1,9,1,1,1,1.7951426579130132,78,1,13,0
251,2,9,1,1,1,2.087525705573182,86,5,21,0
252,3,9,1,1,1,1.9166363636446704,85,5,20,0
253,4,9,1,1,1,1.337123041889401,79,1,14,0
254,5,9,1,1,1,1.8575437023289745,86,5,21,0
255,6,9,1,1,1,1.901844036736697,86,5,21,0
256,0,9,1,1,1,2.1370832753854097,85,5,20,0
257,1,9,1,1,1,1.8960830095397947,84,4,19,0
258,2,9,1,1,1,1.8536198717269827,85,5,20,0
259,3,9,1,1,1,1.9285087426029976,85,5,20,0
260,4,9,1,1,1,1.7280307558324288,81,4,16,0
261,5,9,1,1,1,1.8395369364204956,87,5,22,0
262,6,9,1,1,1,1.7352623870506756,85,5,20,0
263,0,10,1,0,1,2.11651936804482,85,5,20,0
264,1,10,1,0,1,1.8207710136751396,83,4,18,0
265,2,10,1,0,1,1.5887817373681514,84,4,19,0
266,3,10,1,0,1,1.810158630272384,83,4,18,0
267,4,10,1,0,1,1.6626344363236203,82,4,17,0
268,5,10,1,0,1,1.6072240318518929,82,4,17,0
269,6,10,1,0,1,1.8313740372886689,88,5,23,0
270,0,10,1,0,1,2.2002505493286404,87,5,22,0
271,1,10,0,0,1,2.129601404339992,87,5,22,0
